id	oldParent	newParent
6ab0746bb04b288fb4b269c2	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07488b04b288fb4b26a16	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aafacfcf7690c13ea8023d8	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aafb985f7690c13ea80417a	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb39e2d6a320f5fb52778	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab074e5b04b288fb4b26afc	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3a42d6a320f5fb527ad	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3a62d6a320f5fb527bc	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3a62d6a320f5fb527c3	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07623b04b288fb4b26d84	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3a52d6a320f5fb527b7	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab076e6b04b288fb4b26f09	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab075c6b04b288fb4b26cd9	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07699b04b288fb4b26e54	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3ab2d6a320f5fb527eb	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aafe78cf7690c13ea809917	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab0773ab04b288fb4b26fe2	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab076a9b04b288fb4b26e83	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3ae2d6a320f5fb52801	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab078dfb04b288fb4b27338	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aafe785f7690c13ea809909	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab076e2b04b288fb4b26f02	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab078abb04b288fb4b272d1	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07868b04b288fb4b2724a	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aafb077f7690c13ea802c50	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3b22d6a320f5fb52830	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07d17b04b288fb4b2791d	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab0771ab04b288fb4b26f8c	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aafb2b1f7690c13ea8031ca	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07dceb04b288fb4b27a11	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3b32d6a320f5fb52835	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3b62d6a320f5fb52851	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3b62d6a320f5fb52854	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aafee22f7690c13ea80a40f	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aadc0e7b77ad0ab9d13565a	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aadc0e7b77ad0ab9d13565c	/raphael/Series/BoJack Horseman/Season 01	/raphael/Animações/BoJack Horseman/Season 01
6aadc10eb77ad0ab9d13565d	/raphael/Series/BoJack Horseman/Season 01	/raphael/Animações/BoJack Horseman/Season 01
6aadc135b77ad0ab9d13565e	/raphael/Series/BoJack Horseman/Season 01	/raphael/Animações/BoJack Horseman/Season 01
6aadc177b77ad0ab9d13565f	/raphael/Series/BoJack Horseman/Season 01	/raphael/Animações/BoJack Horseman/Season 01
6aadc1a3b77ad0ab9d135660	/raphael/Series/BoJack Horseman/Season 01	/raphael/Animações/BoJack Horseman/Season 01
6aadc1cab77ad0ab9d135661	/raphael/Series/BoJack Horseman/Season 01	/raphael/Animações/BoJack Horseman/Season 01
6aadc1f7b77ad0ab9d135662	/raphael/Series/BoJack Horseman/Season 01	/raphael/Animações/BoJack Horseman/Season 01
6aadc22ab77ad0ab9d135663	/raphael/Series/BoJack Horseman/Season 01	/raphael/Animações/BoJack Horseman/Season 01
6aadc253b77ad0ab9d135664	/raphael/Series/BoJack Horseman/Season 01	/raphael/Animações/BoJack Horseman/Season 01
6aadc27cb77ad0ab9d135665	/raphael/Series/BoJack Horseman/Season 01	/raphael/Animações/BoJack Horseman/Season 01
6aadc2abb77ad0ab9d135666	/raphael/Series/BoJack Horseman/Season 01	/raphael/Animações/BoJack Horseman/Season 01
6aadc2d4b77ad0ab9d135667	/raphael/Series/BoJack Horseman/Season 01	/raphael/Animações/BoJack Horseman/Season 01
6aadc300b77ad0ab9d135669	/raphael/Series/BoJack Horseman/Season 02	/raphael/Animações/BoJack Horseman/Season 02
6aadc331b77ad0ab9d13566a	/raphael/Series/BoJack Horseman/Season 02	/raphael/Animações/BoJack Horseman/Season 02
6aadc35ab77ad0ab9d13566b	/raphael/Series/BoJack Horseman/Season 02	/raphael/Animações/BoJack Horseman/Season 02
6aadc385b77ad0ab9d13566c	/raphael/Series/BoJack Horseman/Season 02	/raphael/Animações/BoJack Horseman/Season 02
6aadc3b9b77ad0ab9d13566d	/raphael/Series/BoJack Horseman/Season 02	/raphael/Animações/BoJack Horseman/Season 02
6aadc3e1b77ad0ab9d13566e	/raphael/Series/BoJack Horseman/Season 02	/raphael/Animações/BoJack Horseman/Season 02
6aadc40cb77ad0ab9d13566f	/raphael/Series/BoJack Horseman/Season 02	/raphael/Animações/BoJack Horseman/Season 02
6aadc441b77ad0ab9d135670	/raphael/Series/BoJack Horseman/Season 02	/raphael/Animações/BoJack Horseman/Season 02
6aadc46bb77ad0ab9d135671	/raphael/Series/BoJack Horseman/Season 02	/raphael/Animações/BoJack Horseman/Season 02
6aadc498b77ad0ab9d135672	/raphael/Series/BoJack Horseman/Season 02	/raphael/Animações/BoJack Horseman/Season 02
6aadc4ccb77ad0ab9d135673	/raphael/Series/BoJack Horseman/Season 02	/raphael/Animações/BoJack Horseman/Season 02
6aadc4fab77ad0ab9d135674	/raphael/Series/BoJack Horseman/Season 02	/raphael/Animações/BoJack Horseman/Season 02
6aadc538b77ad0ab9d135676	/raphael/Series/BoJack Horseman/Season 03	/raphael/Animações/BoJack Horseman/Season 03
6aadc564b77ad0ab9d135677	/raphael/Series/BoJack Horseman/Season 03	/raphael/Animações/BoJack Horseman/Season 03
6aadc592b77ad0ab9d135678	/raphael/Series/BoJack Horseman/Season 03	/raphael/Animações/BoJack Horseman/Season 03
6aadc5c0b77ad0ab9d135679	/raphael/Series/BoJack Horseman/Season 03	/raphael/Animações/BoJack Horseman/Season 03
6aadc5f3b77ad0ab9d13567a	/raphael/Series/BoJack Horseman/Season 03	/raphael/Animações/BoJack Horseman/Season 03
6aadc61db77ad0ab9d13567b	/raphael/Series/BoJack Horseman/Season 03	/raphael/Animações/BoJack Horseman/Season 03
6aadc648b77ad0ab9d13567c	/raphael/Series/BoJack Horseman/Season 03	/raphael/Animações/BoJack Horseman/Season 03
6aadc67eb77ad0ab9d13567d	/raphael/Series/BoJack Horseman/Season 03	/raphael/Animações/BoJack Horseman/Season 03
6aadc762b77ad0ab9d13567f	/raphael/Series/BoJack Horseman/Season 03	/raphael/Animações/BoJack Horseman/Season 03
6aadc78fb77ad0ab9d135680	/raphael/Series/BoJack Horseman/Season 03	/raphael/Animações/BoJack Horseman/Season 03
6aadce6f377cedc7cdfa4bf9	/raphael/Series/BoJack Horseman/Season 03	/raphael/Animações/BoJack Horseman/Season 03
6aaeb3bb2d6a320f5fb52876	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3c22d6a320f5fb528b7	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3c42d6a320f5fb528c8	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3c52d6a320f5fb528d7	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3c72d6a320f5fb528eb	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07a1fb04b288fb4b274ca	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3c92d6a320f5fb528fd	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07b74b04b288fb4b276fc	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07e7fb04b288fb4b27b39	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aafb551f7690c13ea8037f5	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07df0b04b288fb4b27a48	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07adab04b288fb4b2761f	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab0848be72bf158295f13db	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab081eee72bf158295f0f21	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3e92d6a320f5fb529c6	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aafb634f7690c13ea8039fa	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07c71b04b288fb4b27834	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab0a64e72526d991c7b4fff	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07c91b04b288fb4b27868	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3d52d6a320f5fb5296b	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07cb4b04b288fb4b278a5	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab083c8e72bf158295f124b	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3d52d6a320f5fb5296e	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab08357e72bf158295f117a	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aafb751f7690c13ea803c82	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3e02d6a320f5fb529a4	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab084b7e72bf158295f143c	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab07ffeb04b288fb4b27d4d	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab0b51d52448e411cfcea05	/raphael/Series/Cat's Eye (2025)/Season 01	/raphael/Animações/Cat's Eye (2025)/Season 01
6ab0b55052448e411cfcea06	/raphael/Series/Cat's Eye (2025)/Season 01	/raphael/Animações/Cat's Eye (2025)/Season 01
6ab0b58252448e411cfcea07	/raphael/Series/Cat's Eye (2025)/Season 01	/raphael/Animações/Cat's Eye (2025)/Season 01
6ab0b5bf52448e411cfcea08	/raphael/Series/Cat's Eye (2025)/Season 01	/raphael/Animações/Cat's Eye (2025)/Season 01
6ab0b60e52448e411cfcea09	/raphael/Series/Cat's Eye (2025)/Season 01	/raphael/Animações/Cat's Eye (2025)/Season 01
6ab0b67c52448e411cfcea0a	/raphael/Series/Cat's Eye (2025)/Season 01	/raphael/Animações/Cat's Eye (2025)/Season 01
6ab0b6aa52448e411cfcea0b	/raphael/Series/Cat's Eye (2025)/Season 01	/raphael/Animações/Cat's Eye (2025)/Season 01
6ab0b6d752448e411cfcea0c	/raphael/Series/Cat's Eye (2025)/Season 01	/raphael/Animações/Cat's Eye (2025)/Season 01
6ab0b70c52448e411cfcea0d	/raphael/Series/Cat's Eye (2025)/Season 01	/raphael/Animações/Cat's Eye (2025)/Season 01
6ab0b73952448e411cfcea0e	/raphael/Series/Cat's Eye (2025)/Season 01	/raphael/Animações/Cat's Eye (2025)/Season 01
6ab0826be72bf158295f0ffc	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3e72d6a320f5fb529bc	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb3ee2d6a320f5fb529e3	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab0878be72bf158295f18c3	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab08332e72bf158295f1125	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab084bde72bf158295f144d	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab0829be72bf158295f1067	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab08447e72bf158295f1348	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab08454e72bf158295f1362	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aafc0dbf7690c13ea805020	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab08536e72bf158295f14f5	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab084e0e72bf158295f1479	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb4282d6a320f5fb52a99	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab085b1e72bf158295f15b5	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab08516e72bf158295f14a9	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aafbccef7690c13ea8047d9	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb42f2d6a320f5fb52ac6	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6ab085e4e72bf158295f160d	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
6aaeb4332d6a320f5fb52ae2	6a8b7f8f5a0928dc05f6f3a9	6ab323c82875153c5d9ea6c5
