Raiz 'Series'  : id=6a8b7f8f5a0928dc05f6f3a9 parent=/raphael
Raiz 'Novelas' : não existe (será criada)
Documentos na coleção: 29683

Pasta                                                Pai atual                     Desc.  Legado  ObjId
Jezabel                                              ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Kubanacan                                            ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Laços de Família                                     ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Liberdade                                            ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Liberdade, Liberdade                                 ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Lua Cheia de Amor                                    ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Malhação - vidas brasileiras                         ObjectId:6a8b7f8f5a0928dc05f6f3a9     14       0     14
Malhação (2010)                                      ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Malhação (2012)                                      ObjectId:6a8b7f8f5a0928dc05f6f3a9     15       0     15
Malhação (2014)                                      ObjectId:6a8b7f8f5a0928dc05f6f3a9    292       1    291
Malhação Viva a Diferença                            ObjectId:6a8b7f8f5a0928dc05f6f3a9     11       0     11
Mania de Você                                        /raphael/Series                   5       2      3
Maria do Bairro                                      ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Marimar                                              ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Meu Bem, Meu Mal                                     ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Morde e Assopra                                      ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Mulheres Apaixonadas                                 ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Mulheres de Areia                                    ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Novo Mundo                                           ObjectId:6a8b7f8f5a0928dc05f6f3a9      7       0      7
O Bem-Amado                                          ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
O Clone                                              ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
O Cravo e a Rosa                                     ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
O Outro Lado do Paraíso                              ObjectId:6a8b7f8f5a0928dc05f6f3a9      8       0      8
O Profeta                                            ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
O Rebu                                               ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
O Rei do Gado                                        ObjectId:6a8b7f8f5a0928dc05f6f3a9      8       0      8
O Rico e Lázaro                                      ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
O Salvador da Pátria                                 ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
O Sétimo Guardião                                    ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
O11ZE                                                ObjectId:6a8b7f8f5a0928dc05f6f3a9      3       0      3
Operação Pacífico                                    ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Orgulho e Paixão                                     ObjectId:6a8b7f8f5a0928dc05f6f3a9      7       0      7
Os Dez Mandamentos                                   ObjectId:6a8b7f8f5a0928dc05f6f3a9      2       0      2
Os Inocentes                                         ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Os Ricos Também Choram (2022)                        ObjectId:6a8b7f8f5a0928dc05f6f3a9     61       0     61
Pacto de Sangue                                      ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Páginas da Vida                                      ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Pantanal                                             ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Pátria                                               ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Pedra Sobre Pedra                                    ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Pega Pega                                            ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Por Amor                                             ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Porto dos Milagres                                   ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Quatro por Quatro                                    ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Que Rei Sou Eu_                                      ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Renascer (1993)                                      ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Renascer (2024)                                      ObjectId:6a8b7f8f5a0928dc05f6f3a9    198       0    198
Rock Story                                           ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Roda de Fogo                                         ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Roque Santeiro                                       ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Rubí                                                 ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Salve Jorge                                          ObjectId:6a8b7f8f5a0928dc05f6f3a9      8       0      8
Salve-se Quem Puder                                  ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Sangue Bom                                           ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Sassaricando                                         ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Segundo Sol                                          ObjectId:6a8b7f8f5a0928dc05f6f3a9      7       0      7
Selva de Pedra                                       ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Senhora do Destino                                   ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Sete Vidas                                           ObjectId:6a8b7f8f5a0928dc05f6f3a9      5       0      5
Sinhá Moça                                           ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Sol Nascente                                         ObjectId:6a8b7f8f5a0928dc05f6f3a9      8       0      8
Terra Nostra                                         ObjectId:6a8b7f8f5a0928dc05f6f3a9      1       0      1
Vale Tudo (2025)                                     ObjectId:6a8b7f8f5a0928dc05f6f3a9    174      85     89

Títulos na lista............: 176
  já em Novelas............: 0
  ausentes na árvore.......: 0
Descendentes analisados....: 1228 (pai legado: 98, pai ObjectId: 1130)
